cus_id,cus_name,product_id,product_description,zone,aisle,rack,level,on_hand,marked,available
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 03 , A2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 03 , B3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 03 , B4 ,300,300,0
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 06 , D3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 06 , D4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 07 , D1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 07 , D2 ,300,300,0
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 08 , C2 ,300,300,0
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 08 , C4 ,300,300,0
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 09 , D3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 10 , D4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 11 , B3 ,300,0,300
