Product ID,Description,Unit ID,Zone,Aisle ,Rack,Level,ContainerType,Number ofContainers,LoosePieces,On Hand,Marked,Available
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105653,East , E03 ,2, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105652,East , E03 ,2, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105651,East , E03 ,2, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105658,East , E03 ,2, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105657,East , E03 ,2, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105656,East , E03 ,2, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105655,East , E03 ,2, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107463,East , E03 ,3, A2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107285,East , E03 ,3, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105659,East , E03 ,3, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108831,East , E03 ,6, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108832,East , E03 ,6, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107314,East , E03 ,7, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105715,East , E03 ,7, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105718,East , E03 ,8, C1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105717,East , E03 ,8, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105716,East , E03 ,8, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105722,East , E03 ,8, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105721,East , E03 ,8, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105720,East , E03 ,8, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105719,East , E03 ,8, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107316,East , E03 ,9, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105726,East , E03 ,10, C1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105725,East , E03 ,10, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105724,East , E03 ,10, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105723,East , E03 ,10, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105730,East , E03 ,10, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105729,East , E03 ,10, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105728,East , E03 ,10, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105727,East , E03 ,10, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106796,East , E03 ,11, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105732,East , E03 ,11, C1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105731,East , E03 ,11, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105735,East , E03 ,11, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105734,East , E03 ,11, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105733,East , E03 ,11, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106797,East , E03 ,12, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108022,East , E03 ,13, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105912,East , E03 ,14, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107309,East , E03 ,15, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107310,East , E03 ,17, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106287,East , E03 ,18, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105777,East , E03 ,19, B1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105776,East , E03 ,19, B2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105781,East , E03 ,19, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105780,East , E03 ,19, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105779,East , E03 ,19, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105778,East , E03 ,19, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106288,East , E03 ,20, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106289,East , E03 ,21, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106290,East , E03 ,21, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105782,East , E03 ,21, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108024,East , E03 ,24, A1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108299,East , E03 ,25, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104298,East , E03 ,28, A4 ,Carton,0,200,200,0,200
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105914,East , E03 ,28, B1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105913,East , E03 ,28, B2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105915,East , E03 ,29, B2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108303,East , E03 ,29, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108304,East , E03 ,29, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104302,East , E03 ,30, A3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108881,East , E03 ,31, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108880,East , E03 ,31, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108879,East , E03 ,31, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108023,East , E03 ,39, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104143,East , E03 ,39, B1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104142,East , E03 ,39, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104299,East , E03 ,40, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108300,East , E03 ,40, C1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108301,East , E03 ,40, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104141,East , E03 ,40, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104140,East , E03 ,40, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",104139,East , E03 ,40, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108297,East , E03 ,44, B1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108298,East , E03 ,45, B2 ,Carton,0,300,300,0,300
